1707949631.7514048,1707949808483; Signal Strength: 70; IP Addr: 10.165.247.95; APN: globaldata.iot; SIM ICCID: 8931681011103547569; IMEI: 351901936542939; IMSI: 204080743148100; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949636.951369,1707949813683; Signal Strength: 71; IP Addr: 10.165.247.95; APN: globaldata.iot; SIM ICCID: 8931681011103547569; IMEI: 351901936542939; IMSI: 204080743148100; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949642.1521413,1707949818884; Signal Strength: 70; IP Addr: 10.165.247.95; APN: globaldata.iot; SIM ICCID: 8931681011103547569; IMEI: 351901936542939; IMSI: 204080743148100; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949647.3524678,1707949824084; Signal Strength: 70; IP Addr: 10.165.247.95; APN: globaldata.iot; SIM ICCID: 8931681011103547569; IMEI: 351901936542939; IMSI: 204080743148100; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949652.5529823,1707949829285; Signal Strength: 70; IP Addr: 10.165.247.95; APN: globaldata.iot; SIM ICCID: 8931681011103547569; IMEI: 351901936542939; IMSI: 204080743148100; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949657.7529478,1707949834485; Signal Strength: 70; IP Addr: 10.165.247.95; APN: globaldata.iot; SIM ICCID: 8931681011103547569; IMEI: 351901936542939; IMSI: 204080743148100; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949662.9532676,1707949839686; Signal Strength: 69; IP Addr: 10.165.247.95; APN: globaldata.iot; SIM ICCID: 8931681011103547569; IMEI: 351901936542939; IMSI: 204080743148100; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949668.1288776,1707949844886; Signal Strength: 70; IP Addr: 10.165.247.95; APN: globaldata.iot; SIM ICCID: 8931681011103547569; IMEI: 351901936542939; IMSI: 204080743148100; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949673.3342164,1707949850086; Signal Strength: 69; IP Addr: 10.165.247.95; APN: globaldata.iot; SIM ICCID: 8931681011103547569; IMEI: 351901936542939; IMSI: 204080743148100; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949678.5545156,1707949855287; Signal Strength: 70; IP Addr: 10.165.247.95; APN: globaldata.iot; SIM ICCID: 8931681011103547569; IMEI: 351901936542939; IMSI: 204080743148100; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949683.7551029,1707949860487; Signal Strength: 70; IP Addr: 10.165.247.95; APN: globaldata.iot; SIM ICCID: 8931681011103547569; IMEI: 351901936542939; IMSI: 204080743148100; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
