1707851067.2369373,1707851110040; Signal Strength: 69; IP Addr: 10.165.234.37; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851067.328771,1707851110140; Signal Strength: 69; IP Addr: 10.165.234.37; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851072.537253,1707851115341; Signal Strength: 68; IP Addr: 10.165.234.37; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851077.7373576,1707851120542; Signal Strength: 69; IP Addr: 10.165.234.37; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851082.9380808,1707851125742; Signal Strength: 69; IP Addr: 10.165.234.37; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851088.1380796,1707851130943; Signal Strength: 69; IP Addr: 10.165.234.37; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851093.3390617,1707851136144; Signal Strength: 69; IP Addr: 10.165.234.37; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851098.5393214,1707851141344; Signal Strength: 69; IP Addr: 10.165.234.37; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851103.715413,1707851146545; Signal Strength: 68; IP Addr: 10.165.234.37; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851136.8785996,1707851179685; Signal Strength: 68; IP Addr: 10.165.234.37; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851142.0786653,1707851184885; Signal Strength: 68; IP Addr: 10.165.234.37; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851147.2547946,1707851190086; Signal Strength: 68; IP Addr: 10.165.234.37; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851152.4595685,1707851195287; Signal Strength: 69; IP Addr: 10.165.234.37; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851157.6803377,1707851200487; Signal Strength: 68; IP Addr: 10.165.234.37; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851162.8803294,1707851205688; Signal Strength: 68; IP Addr: 10.165.234.37; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851164.1986654,1707851207006; Signal Strength: 69; IP Addr: 10.165.234.37; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851168.0809374,1707851210889; Signal Strength: 68; IP Addr: 10.165.234.37; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851168.6497083,1707851211457; Signal Strength: 68; IP Addr: 10.165.234.37; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851173.2818491,1707851216089; Signal Strength: 67; IP Addr: 10.165.234.37; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851178.4819665,1707851221290; Signal Strength: 67; IP Addr: 10.165.234.37; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851183.6827376,1707851226490; Signal Strength: 67; IP Addr: 10.165.234.37; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
