1708804377.6775918,Time: 1708804377378; Signal Strength: 45; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804377.77772,Time: 1708804377478; Signal Strength: 45; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804378.9781597,Time: 1708804378678; Signal Strength: 45; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804380.1691813,Time: 1708804379879; Signal Strength: 45; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804381.3483331,Time: 1708804381079; Signal Strength: 45; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804382.5793283,Time: 1708804382279; Signal Strength: 45; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804383.779473,Time: 1708804383480; Signal Strength: 45; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804384.9797072,Time: 1708804384680; Signal Strength: 46; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804386.180118,Time: 1708804385880; Signal Strength: 45; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804387.3803198,Time: 1708804387081; Signal Strength: 45; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804388.5808396,Time: 1708804388281; Signal Strength: 45; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804389.782058,Time: 1708804389482; Signal Strength: 46; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804390.982086,Time: 1708804390682; Signal Strength: 46; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804392.1825237,Time: 1708804391883; Signal Strength: 45; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804393.3829365,Time: 1708804393083; Signal Strength: 43; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804394.5826871,Time: 1708804394283; Signal Strength: 42; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804395.783094,Time: 1708804395484; Signal Strength: 43; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804396.9834056,Time: 1708804396684; Signal Strength: 43; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804398.1837945,Time: 1708804397885; Signal Strength: 43; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804399.3840106,Time: 1708804399085; Signal Strength: 42; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804400.5537908,Time: 1708804400285; Signal Strength: 42; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804401.7847466,Time: 1708804401486; Signal Strength: 42; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804402.9851723,Time: 1708804402686; Signal Strength: 41; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804404.1856756,Time: 1708804403887; Signal Strength: 41; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804405.3859384,Time: 1708804405087; Signal Strength: 42; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804406.5866978,Time: 1708804406287; Signal Strength: 43; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804407.7868414,Time: 1708804407488; Signal Strength: 44; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804408.9868755,Time: 1708804408688; Signal Strength: 42; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804410.187097,Time: 1708804409888; Signal Strength: 43; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804411.3873801,Time: 1708804411089; Signal Strength: 43; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804412.5879772,Time: 1708804412289; Signal Strength: 44; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804413.7884865,Time: 1708804413490; Signal Strength: 45; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804414.9889421,Time: 1708804414690; Signal Strength: 45; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804416.1890829,Time: 1708804415891; Signal Strength: 46; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804417.389601,Time: 1708804417091; Signal Strength: 45; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804418.5895984,Time: 1708804418291; Signal Strength: 45; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804419.753195,Time: 1708804419492; Signal Strength: 45; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804420.9905686,Time: 1708804420692; Signal Strength: 45; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804422.1910703,Time: 1708804421893; Signal Strength: 44; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804423.3915668,Time: 1708804423093; Signal Strength: 43; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804424.5913894,Time: 1708804424294; Signal Strength: 42; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804425.7917094,Time: 1708804425494; Signal Strength: 42; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804426.9926236,Time: 1708804426694; Signal Strength: 42; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804428.1928906,Time: 1708804427895; Signal Strength: 43; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804429.3930368,Time: 1708804429095; Signal Strength: 43; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804430.5934212,Time: 1708804430296; Signal Strength: 43; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804431.7938466,Time: 1708804431496; Signal Strength: 42; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804432.9941893,Time: 1708804432696; Signal Strength: 42; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804434.1944683,Time: 1708804433897; Signal Strength: 41; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804435.3949146,Time: 1708804435097; Signal Strength: 42; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804436.5954762,Time: 1708804436298; Signal Strength: 43; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804437.7952633,Time: 1708804437498; Signal Strength: 43; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804528.9838967,Time: 1708804729283; Signal Strength: 39; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.115.234; Temperature: 22; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804529.184553,Time: 1708804729484; Signal Strength: 39; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.115.234; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804530.384382,Time: 1708804730684; Signal Strength: 39; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.115.234; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804531.5849411,Time: 1708804731884; Signal Strength: 37; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.115.234; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804532.7856035,Time: 1708804733084; Signal Strength: 37; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.115.234; Temperature: 22; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804533.9854596,Time: 1708804734285; Signal Strength: 37; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.115.234; Temperature: 22; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804535.186104,Time: 1708804735485; Signal Strength: 38; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.115.234; Temperature: 22; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
